ESTABILIDAD;05/03/2025 09:28:37AM;DOBACK002;53;0;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3;usciclo4; usciclo5; si; accmag; microsds
09:29:15AM
-19.40;  90.89; 1021.38; -45.15; -20.65; -31.06;   1.98;   5.84;   4.29; 38959055.00; 19999.00; 20017.00; 19982.00; 19998.00; 20001.00;   0.80; 1025.60; 21820.00; 
-18.06;  90.28; 1023.70; -45.15;  79.97; -22.31;   1.97;   5.84;   4.29; 39059145.00; 20027.00; 19996.00; 19974.00; 20001.00; 19998.00;   0.82; 1027.83; 21820.00; 
-20.25;  91.01; 1020.16;  16.10;   1.22; -13.56;   1.97;   5.83;   4.28; 39159165.00; 20015.00; 19990.00; 19995.00; 19998.00; 20001.00;   0.79; 1024.42; 21820.00; 
-19.89;  91.50; 1022.85; -36.40;  44.97; -35.44;   1.97;   5.83;   4.28; 39259272.00; 19998.00; 20001.00; 20025.00; 19972.00; 20021.00;   0.80; 1027.13; 21820.00; 
-18.18;  90.77; 1021.87; -84.53;  14.35; -57.31;   1.96;   5.82;   4.28; 39359330.00; 19978.00; 20001.00; 19998.00; 20023.00; 19977.00;   0.81; 1026.06; 21820.00; 
-20.01;  88.21; 1021.99; 121.10; 101.85;  38.94;   1.97;   5.81;   4.28; 39459419.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.79; 1025.99; 21820.00; 
-21.35;  93.33; 1022.85; -18.90;   9.97; -13.56;   1.97;   5.81;   4.28; 39559367.00; 20001.00; 19998.00; 20001.00; 20025.00; 19974.00;   0.78; 1027.32; 21820.00; 
-19.52;  90.77; 1019.80; -23.28; -51.28;  -0.44;   1.95;   5.80;   4.28; 39659110.00; 19998.00; 19999.00; 19999.00; 20001.00; 19998.00;   0.80; 1024.02; 21820.00; 
-18.06;  90.77; 1023.34; -80.15;  -3.15; -13.56;   1.95;   5.80;   4.28; 39759568.00; 20001.00; 20000.00; 19999.00; 20049.00; 19948.00;   0.82; 1027.51; 21820.00; 
-20.13;  89.55; 1019.31; -4288.90; 272.47; 2068.94;   1.97;   5.88;   4.34; 39859681.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.79; 1023.43; 21820.00; 
09:29:16AM
-19.28;  91.01; 1021.63; 287.35;  31.85; -175.44;   1.97;   5.83;   4.35; 39959035.00; 19999.00; 20001.00; 20031.00; 20098.00; 19868.00;   0.80; 1025.85; 20592.00; 
-20.01;  90.04; 1022.36; 344.23; -64.40; -210.44;   1.98;   5.82;   4.35; 40059128.00; 20001.00; 19998.00; 20001.00; 19998.00; 20042.00;   0.79; 1026.51; 20592.00; 
-20.74;  89.91; 1022.24; 676.72; -64.40; -149.19;   1.97;   5.81;   4.35; 40159128.00; 19957.00; 20001.00; 20017.00; 19982.00; 19998.00;   0.79; 1026.39; 20592.00; 
-19.52;  91.74; 1021.99; 142.98; 101.85; -35.44;   1.91;   5.77;   4.38; 40259216.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.80; 1026.29; 20592.00; 
-19.64;  89.30; 1021.75;  94.85;  31.85;  17.06;   1.92;   5.77;   4.37; 40359210.00; 20042.00; 19957.00; 19998.00; 20001.00; 20009.00;   0.80; 1025.83; 20592.00; 
-20.01;  91.50; 1022.12;  59.85;  18.72; -48.56;   1.92;   5.76;   4.38; 40459491.00; 19988.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.79; 1026.40; 20592.00; 
-20.13;  89.55; 1021.14;  55.47;  23.10; -44.19;   1.91;   5.74;   4.38; 40559342.00; 20001.00; 19998.00; 20020.00; 20003.00; 19976.00;   0.79; 1025.26; 20592.00; 
-19.89;  90.77; 1022.60; 186.73; -86.28; -44.19;   1.91;   5.75;   4.37; 40659057.00; 19998.00; 20029.00; 19969.00; 20001.00; 20068.00;   0.80; 1026.82; 20592.00; 
-20.13;  90.77; 1021.63; -110.78; -42.53;  21.44;   1.89;   5.75;   4.36; 40759608.00; 19932.00; 19998.00; 20038.00; 19961.00; 20045.00;   0.79; 1025.85; 20592.00; 
-20.01;  89.91; 1022.73; 107.97; 106.22;  -4.81;   1.88;   5.75;   4.36; 40859691.00; 19953.00; 20001.00; 19998.00; 20021.00; 20021.00;   0.79; 1026.87; 20592.00; 
09:29:17AM
-19.40;  90.89; 1022.60; -18.90;  53.72; -13.56;   1.88;   5.75;   4.36; 40958818.00; 19958.00; 19999.00; 19998.00; 20031.00; 19968.00;   0.80; 1026.82; 19968.00; 
-20.01;  90.65; 1022.48; 212.98;  23.10;  30.19;   1.88;   5.74;   4.36; 41059089.00; 20036.00; 19963.00; 20001.00; 20027.00; 20011.00;   0.79; 1026.69; 19968.00; 
-19.64;  91.74; 1023.34; -119.53;  97.47;   8.31;   1.87;   5.73;   4.36; 41159169.00; 19990.00; 19971.00; 20032.00; 19967.00; 19998.00;   0.80; 1027.63; 19968.00; 
-19.28;  91.01; 1021.38; -58.28;  23.10; -26.69;   1.86;   5.73;   4.35; 41258983.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.80; 1025.61; 19968.00; 
-19.52;  90.52; 1022.12; -27.65;  31.85;  -9.19;   1.86;   5.73;   4.35; 41359045.00; 20018.00; 20016.00; 19966.00; 19998.00; 20001.00;   0.80; 1026.30; 19968.00; 
-19.89;  90.28; 1022.60; 112.35;  62.47; -52.94;   1.86;   5.72;   4.35; 41459254.00; 19998.00; 20001.00; 20029.00; 19971.00; 19998.00;   0.80; 1026.77; 19968.00; 
-20.86;  90.28; 1022.73; -58.28;  31.85;  25.81;   1.87;   5.72;   4.34; 41559294.00; 20024.00; 19983.00; 19994.00; 19998.00; 20001.00;   0.79; 1026.91; 19968.00; 
-19.40;  91.38; 1026.51; 409.85; 119.35; -140.44;   1.87;   5.73;   4.34; 41658950.00; 19998.00; 20001.00; 19998.00; 20014.00; 19985.00;   0.80; 1030.75; 19968.00; 
