ESTABILIDAD;07/10/2025 09:56:05;DOBACK027;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
-14.27; -15.13; 1007.11; 868.17; -428.05; 959.26;   0.98;  -0.05;   5.89; 84310.00; 20014.00; 19987.00; 19998.00; 19998.00; 19999.00;   0.97; 1007.32; 199009.00;   0.50;
-13.91; -14.52; 1007.84; 618.80; -218.05; 1248.01;   0.98;  -0.05;   5.89; 15887.00; 19999.00; 19999.00; 19999.00; 20002.00; 19998.00;   0.97; 1008.04; 199009.00;   0.50;
-14.15; -14.52; 1008.33; 561.92; -91.17; 1234.89;   0.99;  -0.06;   5.89; 9027.00; 19998.00; 19999.00; 19999.00; 20003.00; 19999.00;   0.97; 1008.53; 199009.00;   0.50;
-13.91; -14.64; 1006.62; 736.92; -248.67; 1248.01;   0.99;  -0.05;   5.90; 26907.00; 19997.00; 19999.00; 19999.00; 20000.00; 19998.00;   0.97; 1006.82; 199009.00;   0.50;
-13.66; -14.76; 1007.11; 421.92; -244.30; 933.01;   1.00;  -0.08;   5.90; 49590.00; 20003.00; 19996.00; 20003.00; 19997.00; 19998.00;   0.98; 1007.31; 199009.00;   0.50;
-13.91; -14.88; 1007.48; -221.20; -148.05; 1191.14;   1.02;  -0.08;   5.89; 15495.00; 19999.00; 19999.00; 19999.00; 19999.00; 20019.00;   0.97; 1007.68; 199009.00;   0.50;
09:56:09
-14.52; -11.47; 1008.45; -435.58;  75.08; 1016.14;   1.02;  -0.09;   5.88; 8434.00; 19983.00; 19997.00; 19998.00; 19999.00; 20005.00;   0.97; 1008.62; 199009.00;   0.50;
-14.40;  -6.22; 1006.74; -418.08;  22.58; 552.39;   1.01;  -0.09;   5.89; 78354.00; 19998.00; 19995.00; 19998.00; 19999.00; 20007.00;   0.97; 1006.87; 196152.00;   0.50;
-14.40;  -6.22; 1006.74; -619.33; -126.17; 394.89;   1.01;  -0.10;   5.90; 178321.00; 19992.00; 19998.00; 19999.00; 19999.00; 19999.00;   0.97; 1006.87; 196152.00;   0.50;
-14.64;  -5.98; 1008.09; -658.70; -56.17; 806.14;   1.01;  -0.10;   5.91; 74891.00; 20182.00; 19821.00; 19997.00; 19998.00; 19999.00;   0.97; 1008.21; 196152.00;   0.50;
-14.40;  -8.05; 1006.74; 268.80; -47.42; 1186.76;   1.01;  -0.11;   5.91; 91465.00; 20002.00; 19997.00; 19999.00; 19999.00; 19999.00;   0.97; 1006.88; 196152.00;   0.50;
-13.18; -26.84; 1008.09; 404.42; -126.17; 1173.64;   1.01;  -0.14;   5.89; 1451.00; 20022.00; 19982.00; 19995.00; 19999.00; 20042.00;   0.98; 1008.53; 196152.00;   0.50;
-12.81; -25.62; 1007.48; 470.05; -349.30; 1274.26;   1.03;  -0.16;   5.87; 23302.00; 19956.00; 19999.00; 19999.00; 20003.00; 19997.00;   0.98; 1007.88; 196152.00;   0.50;
-12.81; -25.62; 1007.48; 636.30; -406.17; 1676.76;   1.05;  -0.15;   5.85; 123432.00; 19998.00; 19999.00; 19999.00; 19999.00; 20002.00;   0.98; 1007.88; 196152.00;   0.50;
-12.93; -24.64; 1006.74; 570.67; -213.67; 1956.76;   1.05;  -0.18;   5.82; 93295.00; 20002.00; 19997.00; 19997.00; 19999.00; 19999.00;   0.98; 1007.13; 196152.00;   0.50;
-14.52;  -7.56; 1007.35; 373.80; -231.17; 1501.76;   1.05;  -0.20;   5.80; 20505.00; 20002.00; 20001.00; 20001.00; 19995.00; 20001.00;   0.97; 1007.49; 196152.00;   0.50;
09:56:10
-14.27;  -7.81; 1006.74; 268.80; -454.30; 1501.76;   1.06;  -0.21;   5.79; 20101.00; 19997.00; 20003.00; 19997.00; 19998.00; 20002.00;   0.97; 1006.88; 196152.00;   0.50;
-14.52;  -8.66; 1007.11; 203.18; -292.42; 1405.51;   1.07;  -0.21;   5.79; 99545.00; 20055.00; 19946.00; 19997.00; 19998.00; 20000.00;   0.97; 1007.25; 196184.00;   0.50;
-14.52;  -8.66; 1007.11; -164.32; 114.45; 1300.51;   1.07;  -0.22;   5.80; 199188.00; 19999.00; 19998.00; 19999.00; 19999.00; 19999.00;   0.97; 1007.25; 196184.00;   0.50;
-14.40; -14.64; 1009.18; -356.83;  53.20; 884.89;   1.07;  -0.24;   5.79; 66541.00; 20003.00; 20059.00; 19938.00; 19998.00; 19999.00;   0.97; 1009.39; 196184.00;   0.50;
-13.42; -20.25; 1006.99; -190.57; -169.92; 613.64;   1.07;  -0.22;   5.78; 9792.00; 19999.00; 20030.00; 19969.00; 19999.00; 20001.00;   0.98; 1007.28; 196184.00;   0.50;
