ESTABILIDAD;02/10/2025 09:50:14;DOBACK027;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
-7.32; -20.50; 995.03; 1254.40; -668.24; -7406.70;   1.06;   0.94;  -1.57; 207421.00; 19999.00; 20004.00; 19996.00; 19999.00; 19999.00;   0.99; 995.27; 194296.00;   0.50;
-6.95; -21.47; 999.55; -1431.85; -2094.49; -7699.83;   0.92;   1.00;  -2.44; 83707.00; 20002.00; 19997.00; 19998.00; 19999.00; 19999.00;   0.99; 999.80; 194296.00;   0.50;
-6.95; -21.47; 999.55; -58.10; -2321.99; -9314.20;   0.69;   1.22;  -3.47; 183846.00; 19999.00; 20004.00; 19996.00; 19999.00; 19999.00;   0.99; 999.80; 194475.00;   0.50;
-6.95; -21.47; 999.55; 4264.40; -2269.49; -11278.58;   0.50;   1.47;  -4.72; 284374.00; 19998.00; 20079.00; 19921.00; 20039.00; 19960.00;   0.99; 999.80; 194475.00;   0.50;
-6.83; -21.35; 1002.84; 3888.15; -2838.24; -12276.08;   0.37;   1.62;  -6.08; 29069.00; 19999.00; 19999.00; 19999.00; 20002.00; 19997.00;   0.99; 1003.09; 194475.00;   0.50;
-6.83; -21.35; 1002.84; 1394.40; -4544.49; -12464.20;   0.08;   1.66;  -7.55; 129526.00; 19999.00; 20003.00; 20030.00; 19965.00; 19999.00;   0.99; 1003.09; 194475.00;   0.50;
-6.83; -21.35; 1002.84; 1053.15; -6635.74; -13194.83;  -0.44;   1.71;  -9.03; 229269.00; 19999.00; 19999.00; 20003.00; 19996.00; 19999.00;   0.99; 1003.09; 194475.00;   0.50;
-251.69; 476.29; 929.15; -1125.60; -7633.24; -13365.45;  -1.11;   1.77; -10.53; 329632.00; 19999.00; 19999.00; 20004.00; 19995.00; 19999.00;   0.52; 1074.02; 194475.00;   0.50;
-221.80; 473.60; 916.71; -1077.47; -8678.86; -12665.45;  -1.90;   1.96; -12.03; 429466.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;   0.57; 1055.39; 194475.00;   0.50;
09:50:19
-5.86; -18.91; 1014.92; 939.40; -9190.74; -11681.08;  -2.75;   2.17; -13.58; 20313.00; 19999.00; 19999.00; 19998.00; 20003.00; 20041.00;   0.99; 1015.11; 194475.00;   0.50;
-5.00; -18.79; 1015.77; 1464.40; -9300.11; -12586.70;  -3.58;   2.29; -15.14; 28346.00; 19955.00; 20004.00; 19996.00; 19999.00; 20003.00;   0.99; 1015.96; 194475.00;   0.50;
-4.88; -19.28; 1018.09; 475.65; -7891.36; -13925.45;  -4.35;   2.37; -16.69; 16227.00; 20001.00; 19995.00; 19998.00; 19999.00; 20004.00;   0.99; 1018.28; 194475.00;   0.50;
-4.88; -19.28; 1018.09; 173.77; -6985.74; -15907.33;  -5.03;   2.50; -18.31; 115945.00; 19996.00; 19999.00; 19999.00; 20000.00; 19998.00;   0.99; 1018.28; 194678.00;   0.50;
-6.83; -20.50; 1013.09; 1131.90; -6447.61; -16777.95;  -5.65;   2.66; -19.92; 55024.00; 19998.00; 19999.00; 20000.00; 19998.00; 20004.00;   0.99; 1013.32; 194678.00;   0.50;
-8.54; -20.74; 1009.31; -219.98; -6001.36; -15522.33;  -6.19;   2.96; -21.61; 56184.00; 19996.00; 19998.00; 20000.00; 20005.00; 19993.00;   0.98; 1009.56; 194678.00;   0.50;
-12.57;  -0.73; 997.11; 1390.03; -5786.99; -15146.08;  -6.63;   3.18; -23.41; 7032.00; 19998.00; 20000.00; 20003.00; 19996.00; 20003.00;   0.98; 997.19; 194678.00;   0.50;
-12.57;  -0.73; 997.11; 1022.53; -5191.99; -16064.83;  -6.99;   3.36; -25.24; 106909.00; 19996.00; 19998.00; 19999.00; 20000.00; 19999.00;   0.98; 997.19; 194678.00;   0.50;
-12.44;   8.17; 991.98; -508.73; -4150.74; -18077.32;  -7.32;   3.70; -27.08; 1825.00; 19998.00; 19999.00; 19999.00; 19999.00; 20000.00;   0.98; 992.09; 194678.00;   0.50;
-12.44;   8.17; 991.98; 322.52; -3835.74; -19516.70;  -7.61;   4.09; -28.93; 101140.00; 20003.00; 19996.00; 19998.00; 19999.00; 19999.00;   0.98; 992.09; 194678.00;   0.50;
09:50:20
-12.93;  33.67; 993.69; 2496.90; -4653.86; -19416.07;  -7.96;   4.37; -30.72; 44402.00; 20000.00; 19998.00; 20003.00; 20000.00; 19996.00;   0.98; 994.34; 194678.00;   0.50;
-11.59;  54.66; 1012.72; 1503.78; -5471.99; -18046.70;  -8.30;   4.53; -32.50; 52114.00; 20001.00; 20001.00; 20049.00; 19956.00; 19992.00;   0.98; 1014.26; 194678.00;   0.50;
-11.59;  54.66; 1012.72; -1904.35; -5266.36; -18252.32;  -8.70;   4.92; -34.29; 150578.00; 20001.00; 19998.00; 19998.00; 19999.00; 19999.00;   0.98; 1014.26; 194678.00;   0.50;
-5.37;  46.85; 1003.94; -1296.22; -6395.11; -18274.20;  -9.15;   5.18; -36.08; 36708.00; 20000.00; 19998.00; 19999.00; 20004.00; 19995.00;   0.99; 1005.04; 194475.00;   0.50;
8.54;  15.74; 995.76; 948.15; -7151.99; -18247.95;  -9.71;   5.50; -37.88; 17715.00; 19998.00; 19999.00; 19999.00; 20029.00; 19974.00;   0.98; 995.92; 194475.00;   0.50;
