GPS;03/10/2025-09:47:31;DOBACK027;Sesión:1
HoraRaspberry,Fecha,Hora(GPS),Latitud,Longitud,Altitud,HDOP,Fix,NumSats,Velocidad(km/h)
Hora Raspberry-09:49:36,03/10/2025,Hora GPS-07:49:36,sin datos GPS
Hora Raspberry-09:49:38,03/10/2025,Hora GPS-07:49:38,sin datos GPS
Hora Raspberry-09:49:39,03/10/2025,Hora GPS-07:49:39,sin datos GPS
Hora Raspberry-09:49:40,03/10/2025,Hora GPS-07:49:40,sin datos GPS
Hora Raspberry-09:49:42,03/10/2025,Hora GPS-07:49:42,sin datos GPS
Hora Raspberry-09:49:43,03/10/2025,Hora GPS-07:49:43,sin datos GPS
Hora Raspberry-09:49:44,03/10/2025,Hora GPS-07:49:44,sin datos GPS
Hora Raspberry-09:49:45,03/10/2025,Hora GPS-07:49:45,sin datos GPS
Hora Raspberry-09:49:46,03/10/2025,Hora GPS-07:49:46,sin datos GPS
Hora Raspberry-09:49:47,03/10/2025,Hora GPS-07:49:47,sin datos GPS
Hora Raspberry-09:49:48,03/10/2025,Hora GPS-07:49:48,sin datos GPS
Hora Raspberry-09:49:49,03/10/2025,Hora GPS-07:49:49,sin datos GPS
Hora Raspberry-09:49:51,03/10/2025,Hora GPS-07:49:51,sin datos GPS
Hora Raspberry-09:49:52,03/10/2025,Hora GPS-07:49:52,sin datos GPS
Hora Raspberry-09:49:53,03/10/2025,Hora GPS-07:49:53,sin datos GPS
Hora Raspberry-09:49:54,03/10/2025,Hora GPS-07:49:54,sin datos GPS
Hora Raspberry-09:49:55,03/10/2025,Hora GPS-07:49:55,sin datos GPS
Hora Raspberry-09:49:56,03/10/2025,Hora GPS-07:49:56,sin datos GPS
Hora Raspberry-09:49:57,03/10/2025,Hora GPS-07:49:57,sin datos GPS
Hora Raspberry-09:49:58,03/10/2025,Hora GPS-07:49:58,sin datos GPS
Hora Raspberry-09:49:59,03/10/2025,Hora GPS-07:49:59,sin datos GPS
Hora Raspberry-09:50:00,03/10/2025,Hora GPS-07:50:00,sin datos GPS
Hora Raspberry-09:50:01,03/10/2025,Hora GPS-07:50:01,sin datos GPS
Hora Raspberry-09:50:02,03/10/2025,Hora GPS-07:50:02,sin datos GPS
Hora Raspberry-09:50:03,03/10/2025,Hora GPS-07:50:03,sin datos GPS
Hora Raspberry-09:50:04,03/10/2025,Hora GPS-07:50:04,sin datos GPS
Hora Raspberry-09:50:05,03/10/2025,Hora GPS-07:50:05,sin datos GPS
Hora Raspberry-09:50:07,03/10/2025,Hora GPS-07:50:07,sin datos GPS
Hora Raspberry-09:50:08,03/10/2025,Hora GPS-07:50:08,sin datos GPS
Hora Raspberry-09:50:09,03/10/2025,Hora GPS-07:50:09,sin datos GPS
Hora Raspberry-09:50:10,03/10/2025,Hora GPS-07:50:10,sin datos GPS
Hora Raspberry-09:50:12,03/10/2025,Hora GPS-07:50:12,sin datos GPS
Hora Raspberry-09:50:13,03/10/2025,Hora GPS-07:50:13,sin datos GPS
Hora Raspberry-09:50:15,03/10/2025,Hora GPS-07:50:15,sin datos GPS
Hora Raspberry-09:50:16,03/10/2025,Hora GPS-07:50:16,sin datos GPS
Hora Raspberry-09:50:17,03/10/2025,Hora GPS-07:50:17,sin datos GPS
Hora Raspberry-09:50:18,03/10/2025,Hora GPS-07:50:18,sin datos GPS
09:50:19,03/10/2025,07:50:19,40.5355063,-3.6183400,675.5,1.64,1,06,1.87
09:50:21,03/10/2025,07:50:21,40.5355070,-3.6183392,672.9,1.64,1,06,1.08
09:50:22,03/10/2025,07:50:22,40.5355028,-3.6183402,672.4,1.64,1,06,1.08
09:50:23,03/10/2025,07:50:23,40.5354945,-3.6183428,672.5,1.64,1,06,0.65
09:50:24,03/10/2025,07:50:24,40.5354910,-337101.1166667,672.5,1.4,1,06,0.66
09:50:25,03/10/2025,07:50:25,4032129.2333333,-3.6183485,672.2,1.64,1,06,1.07
09:50:26,03/10/2025,07:50:26,40.5354853,-3.6183502,671.6,1.64,1,06,0.11
09:50:27,03/10/2025,07:50:27,40.5354837,-3.6183512,671.3,1.64,1,06,0.05
09:50:28,03/10/2025,07:50:28,40.5354772,-3.6183530,670.4,1.64,1,06,1.36
09:50:29,03/10/2025,07:50:29,40.5354737,-3.6183552,670.5,1.64,1,06,1.36
09:50:30,03/10/2025,07:50:30,40.5354707,-3.6183570,670.4,1.64,1,06,1.01
09:50:31,03/10/2025,07:50:31,40.5354703,-3.6183568,670.0,1.63,1,06,0.60
09:50:32,03/10/2025,07:50:32,40.5354700,-3.6183573,670.0,1.63,1,06,0.11
09:50:33,03/10/2025,07:50:33,40.5354705,-3.6183570,670.1,1.63,1,06,0.16
09:50:34,03/10/2025,07:50:34,40.5354713,-3.6183560,669.8,1.63,1,06,0.08
09:50:35,03/10/2025,07:50:35,40.5354753,-3.6183547,669.3,1.63,1,06,0.41
09:50:36,03/10/2025,07:50:36,40.5354788,-3.6183545,669.2,1.63,1,06,0.42
09:50:38,03/10/2025,07:50:38,40.5354840,-3.6183530,668.9,1.63,1,06,0.23
09:50:39,03/10/2025,07:50:39,40.5354885,-3.6183510,668.9,1.63,1,06,0.23
09:50:40,03/10/2025,07:50:40,40.5354923,-3.6183498,669.2,1.63,1,06,0.23
09:50:41,03/10/2025,07:50:41,40.5354957,-3.6183498,669.7,1.63,1,06,0.19
09:50:43,03/10/2025,07:50:43,40.5355017,-3.6183468,669.8,1.63,1,06,0.21
09:50:44,03/10/2025,07:50:44,40.5355032,-3.6183477,670.1,1.63,1,06,0.21
09:50:45,03/10/2025,07:50:45,40.5355053,-0.6183480,670.1,1.63,1,06,0.30
09:50:46,03/10/2025,07:50:46,40.5355072,-3.6183487,670.3,1.63,1,06,0.09
09:50:47,03/10/2025,07:50:47,40.5355087,-3.6183493,670.5,1.63,1,06,587.08
09:50:48,03/10/2025,07:50:48,40.5355095,-3.6183517,670.8,1.63,1,06,0.63
09:50:49,03/10/2025,07:50:49,40.5355108,-3.6183523,670.9,.63,1,06,0.31
09:50:50,03/10/2025,07:50:50,40.5355125,-3.6183537,671.0,1.63,1,06,0.31
09:50:52,03/10/2025,07:50:52,40.5355148,-3.6183560,671.4,1.63,1,06,0.19
09:50:53,03/10/2025,07:50:53,40.5355153,-3.6183555,671.7,1.63,1,06,0.71
09:50:54,03/10/2025,07:50:54,40.5355168,-3.6183545,671.7,1.63,1,06,0.62
09:50:55,03/10/2025,07:50:55,40.5355177,-3.6183562,671.9,1.63,1,06,0.62
09:50:56,03/10/2025,07:50:56,40.5355177,-3.6183585,672.2,1.63,1,06,0.49
09:50:57,03/10/2025,07:50:57,40.5355183,-3.6183595,672.3,1.63,1,06,0.43
09:50:58,03/10/2025,07:50:58,40.5355187,-3.6183608,672.7,1.63,1,06,0.63
09:50:59,03/10/2025,07:50:59,40.5355187,-3.6183633,673.0,1.63,1,06,0.44
